Trainn acc .	Test acc .	
 2.0227e+02	 2.1660e+02	
 2.0191e+02	 2.1621e+02	
 2.0155e+02	 2.1582e+02	
 2.0119e+02	 2.1543e+02	
 2.0083e+02	 2.1505e+02	
 2.0047e+02	 2.1467e+02	
 2.0011e+02	 2.1428e+02	
 1.9975e+02	 2.1390e+02	
 1.9939e+02	 2.1352e+02	
 1.9904e+02	 2.1314e+02	
 1.9868e+02	 2.1276e+02	
 1.9833e+02	 2.1238e+02	
 1.9798e+02	 2.1200e+02	
 1.9762e+02	 2.1163e+02	
 1.9727e+02	 2.1125e+02	
 1.9692e+02	 2.1087e+02	
 1.9657e+02	 2.1050e+02	
 1.9621e+02	 2.1013e+02	
 1.9586e+02	 2.0975e+02	
 1.9551e+02	 2.0938e+02	
 1.9516e+02	 2.0900e+02	
 1.9481e+02	 2.0863e+02	
 1.9446e+02	 2.0826e+02	
 1.9411e+02	 2.0789e+02	
 1.9376e+02	 2.0752e+02	
 1.9341e+02	 2.0715e+02	
 1.9306e+02	 2.0678e+02	
 1.9271e+02	 2.0641e+02	
 1.9237e+02	 2.0604e+02	
 1.9202e+02	 2.0567e+02	
 1.9167e+02	 2.0531e+02	
 1.9133e+02	 2.0494e+02	
 1.9099e+02	 2.0458e+02	
 1.9064e+02	 2.0421e+02	
 1.9030e+02	 2.0384e+02	
 1.8996e+02	 2.0348e+02	
 1.8962e+02	 2.0311e+02	
 1.8929e+02	 2.0275e+02	
 1.8895e+02	 2.0239e+02	
 1.8861e+02	 2.0203e+02	
 1.8828e+02	 2.0167e+02	
 1.8794e+02	 2.0131e+02	
 1.8761e+02	 2.0095e+02	
 1.8727e+02	 2.0059e+02	
 1.8694e+02	 2.0023e+02	
 1.8660e+02	 1.9987e+02	
 1.8627e+02	 1.9951e+02	
 1.8594e+02	 1.9916e+02	
 1.8561e+02	 1.9880e+02	
 1.8528e+02	 1.9845e+02	
 1.8494e+02	 1.9810e+02	
 1.8461e+02	 1.9775e+02	
 1.8429e+02	 1.9740e+02	
 1.8396e+02	 1.9704e+02	
 1.8363e+02	 1.9670e+02	
 1.8330e+02	 1.9635e+02	
 1.8297e+02	 1.9601e+02	
 1.8265e+02	 1.9566e+02	
 1.8232e+02	 1.9531e+02	
 1.8199e+02	 1.9497e+02	
 1.8166e+02	 1.9462e+02	
 1.8134e+02	 1.9428e+02	
 1.8101e+02	 1.9394e+02	
 1.8069e+02	 1.9359e+02	
 1.8036e+02	 1.9325e+02	
 1.8004e+02	 1.9291e+02	
 1.7972e+02	 1.9257e+02	
 1.7940e+02	 1.9223e+02	
 1.7908e+02	 1.9190e+02	
 1.7876e+02	 1.9156e+02	
 1.7844e+02	 1.9122e+02	
 1.7812e+02	 1.9088e+02	
 1.7781e+02	 1.9055e+02	
 1.7749e+02	 1.9022e+02	
 1.7717e+02	 1.8988e+02	
 1.7686e+02	 1.8956e+02	
 1.7655e+02	 1.8923e+02	
 1.7623e+02	 1.8891e+02	
 1.7592e+02	 1.8858e+02	
 1.7561e+02	 1.8825e+02	
 1.7530e+02	 1.8792e+02	
 1.7499e+02	 1.8760e+02	
 1.7468e+02	 1.8727e+02	
 1.7437e+02	 1.8694e+02	
 1.7407e+02	 1.8662e+02	
 1.7376e+02	 1.8629e+02	
 1.7346e+02	 1.8597e+02	
 1.7315e+02	 1.8564e+02	
 1.7285e+02	 1.8532e+02	
 1.7254e+02	 1.8499e+02	
 1.7224e+02	 1.8467e+02	
 1.7194e+02	 1.8435e+02	
 1.7164e+02	 1.8403e+02	
 1.7134e+02	 1.8371e+02	
 1.7105e+02	 1.8339e+02	
 1.7075e+02	 1.8307e+02	
 1.7045e+02	 1.8275e+02	
 1.7016e+02	 1.8243e+02	
 1.6986e+02	 1.8211e+02	
 1.6957e+02	 1.8179e+02	
 1.6927e+02	 1.8147e+02	
 1.6898e+02	 1.8115e+02	
 1.6869e+02	 1.8084e+02	
 1.6840e+02	 1.8052e+02	
 1.6811e+02	 1.8021e+02	
 1.6781e+02	 1.7989e+02	
 1.6752e+02	 1.7958e+02	
 1.6723e+02	 1.7926e+02	
 1.6694e+02	 1.7895e+02	
 1.6666e+02	 1.7864e+02	
 1.6637e+02	 1.7833e+02	
 1.6608e+02	 1.7802e+02	
 1.6579e+02	 1.7771e+02	
 1.6551e+02	 1.7741e+02	
 1.6522e+02	 1.7710e+02	
 1.6494e+02	 1.7680e+02	
 1.6465e+02	 1.7649e+02	
 1.6437e+02	 1.7619e+02	
 1.6408e+02	 1.7589e+02	
 1.6380e+02	 1.7559e+02	
 1.6352e+02	 1.7528e+02	
 1.6323e+02	 1.7498e+02	
 1.6295e+02	 1.7467e+02	
 1.6267e+02	 1.7438e+02	
 1.6239e+02	 1.7408e+02	
 1.6211e+02	 1.7379e+02	
 1.6183e+02	 1.7349e+02	
 1.6155e+02	 1.7320e+02	
 1.6127e+02	 1.7290e+02	
 1.6100e+02	 1.7261e+02	
 1.6072e+02	 1.7231e+02	
 1.6044e+02	 1.7202e+02	
 1.6017e+02	 1.7173e+02	
 1.5989e+02	 1.7143e+02	
 1.5962e+02	 1.7114e+02	
 1.5935e+02	 1.7085e+02	
 1.5907e+02	 1.7057e+02	
 1.5880e+02	 1.7029e+02	
 1.5853e+02	 1.7000e+02	
 1.5826e+02	 1.6972e+02	
 1.5799e+02	 1.6944e+02	
 1.5772e+02	 1.6915e+02	
 1.5745e+02	 1.6887e+02	
 1.5718e+02	 1.6859e+02	
 1.5692e+02	 1.6832e+02	
 1.5665e+02	 1.6804e+02	
 1.5639e+02	 1.6776e+02	
 1.5612e+02	 1.6748e+02	
 1.5586e+02	 1.6720e+02	
 1.5559e+02	 1.6693e+02	
 1.5533e+02	 1.6665e+02	
 1.5507e+02	 1.6638e+02	
 1.5481e+02	 1.6610e+02	
 1.5454e+02	 1.6583e+02	
